Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-9.65385809664856E-11,-3.54631452649737E-10,0.585833333570927,0,0,0,0.641587360117176,0.0449769595078566,9.38450560707107E-19,2.85895084474465E-17,0.0448128852981458,-9.36474446251631E-19,0.000658541134287811,0,0,0,0,0,0,package://bessica/meshes/base_link.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://bessica/meshes/base_link.STL,,KEFSB6-3060-1000.STEP-1;KEFSB6-3060-300.STEP-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_arm_base_link,-1.63473946053096E-05,0.00300662464882673,0.0103241813473425,0,0,0,0.760760214227773,0.00140239578149964,1.37239403851202E-07,-1.42916142760736E-07,0.00146104425714734,-1.55314870823304E-05,0.00186458776403139,0,0,0,0,0,0,package://bessica/meshes/left_arm_base_link.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://bessica/meshes/left_arm_base_link.STL,,铝型材连接件.STEP-1;灵越2.1-1/灵越joint1底座-1;灵越2.1-1/灵越 joint1底板与底座连接件-1;灵越2.1-1/灵越 joint1  底座上盖-1,left_arm_base_link,shoulder_base_joint,left_arm_base_joint,fixed,0,0.1,1.01500000066667,-1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
left_arm_link1,-0.000164977722784185,6.51727945009444E-05,-0.00243570338411384,0,0,0,0.189922225867714,0.000146347772116188,8.97185586680608E-07,-1.12252162303393E-06,0.000249759799894508,-4.11548403173903E-07,0.000330262694467369,0,0,0,0,0,0,package://bessica/meshes/left_arm_link1.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://bessica/meshes/left_arm_link1.STL,,灵越2.1-1/灵越 joint2  底板-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-2/PRT0002-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-2/PRT0003-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-2/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-1/joint2飞特舵机连轴承件-2;灵越2.1-1/joint2飞特舵机连轴承件-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-1/PRT0002-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-1/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-1/OUTGEAR_ASM_2_ASM_ASM-1/PRT0007-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-1/PRT0003-1,left_arm_link1,left_arm_joint1,left_arm_joint1,revolute,0,0,0.1145,3.14159265358979,0,0,left_arm_base_link,0,0,1,12,5,-2.14,2.14,,,,,,,,
left_arm_link2,0.0292978987910792,0.000514105850466684,0.000371089505223361,0,0,0,0.0465252707223917,7.30112380112833E-06,5.76060636775077E-07,-1.43192461618647E-06,1.56957054082706E-05,-1.34505028400512E-08,1.49256044559259E-05,0,0,0,0,0,0,package://bessica/meshes/left_arm_link2.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://bessica/meshes/left_arm_link2.STL,,灵越2.1-1/灵越 joint2-joint3 连接杆-1-1;灵越2.1-1/灵越 joint2-joint3 连接短杆-2-1;灵越2.1-1/灵越joint2转joint3轴承件-1,left_arm_link2,left_arm_joint2,left_arm_joint2,revolute,0.000449999999998569,0,-0.04287,-1.5707963267949,0,-1.5707963267949,left_arm_link1,0,0,1,12,5,-0.25,2.14,,,,,,,,
left_arm_link3,0.000585816890663893,2.67134447653953E-05,-0.120888401586103,0,0,0,0.213446468640546,0.000225589752278573,-1.5155044694364E-08,2.43597245450492E-06,0.00014335125310894,-7.17913825480148E-08,0.000161898121849544,0,0,0,0,0,0,package://bessica/meshes/left_arm_link3.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://bessica/meshes/left_arm_link3.STL,,灵越2.1-1/灵越joint4-joint5连接杆-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-4/PRT0002-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-4/PRT0003-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-4/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-1/灵越铝型材铝型材-1;灵越2.1-1/灵越joint4转接铝型材-2.STEP-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-7/PRT0002-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-7/PRT0003-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-7/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-1/灵越飞特舵机连轴承件1-2;灵越2.1-1/灵越飞特舵机连轴承件1-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-5/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-5/PRT0003-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-5/PRT0002-1,left_arm_link3,left_arm_joint3,left_arm_joint3,revolute,0.0639500000000051,-0.000100000000002043,-5.00000000017345E-05,1.5707963267949,0,-1.5707963267949,left_arm_link2,0,0,-1,12,5,-2.14,2.14,,,,,,,,
left_arm_link4,-0.000541938878743597,0.0284058061970648,0.000320347235384871,0,0,0,0.0480071391158091,1.64141913891155E-05,-5.7845673769066E-07,9.62946752561962E-09,7.54093815008541E-06,-1.52193904000395E-06,1.55133391025038E-05,0,0,0,0,0,0,package://bessica/meshes/left_arm_link4.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://bessica/meshes/left_arm_link4.STL,,灵越2.1-1/灵越 joint5-joint6 连接杆-1-2;灵越2.1-1/灵越 joint5-joint6 连接短杆-2-2;灵越2.1-1/灵越joint2转joint3轴承件-2,left_arm_link4,left_arm_joint4,left_arm_joint4,revolute,0.00383999999999851,5.0000000004364E-05,-0.202609999999996,-1.57079632679489,0,0,left_arm_link3,0,0,1,12,5,-1.57,1.57,,,,,,,,
left_arm_link5,-0.000910668202409481,-0.000236818946050908,-0.0811518411270211,0,0,0,0.116319653363722,9.32787799992093E-05,-1.43207862251841E-08,3.45337326970064E-06,0.000100263941574271,1.15839563826208E-07,3.8226465560725E-05,0,0,0,0,0,0,package://bessica/meshes/left_arm_link5.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://bessica/meshes/left_arm_link5.STL,,灵越2.1-1/灵越joint4-joint5连接杆-2;灵越2.1-1/SCS215_ASM_71_ASM_ASM-9/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-9/PRT0003-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-9/PRT0002-1;灵越2.1-1/灵越铝型材铝型材-2;灵越2.1-1/灵越joint6转joint7_step-2;灵越2.1-1/SCS215_ASM_71_ASM_ASM-10/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-10/PRT0003-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-10/PRT0002-1,left_arm_link5,left_arm_joint5,left_arm_joint5,revolute,0,0.0639500000000003,-0.000249999999995355,1.57079632679489,0,0,left_arm_link4,0,0,-1,12,5,-2.14,2.14,,,,,,,,
left_arm_link6,0.000759194613479341,0.0240065523153092,4.41835628682764E-05,0,0,0,0.0325622574716058,1.56755999138173E-05,1.61833904254131E-07,7.68617040825205E-09,1.27877692587564E-05,2.8459924750808E-08,9.25035078924422E-06,0,0,0,0,0,0,package://bessica/meshes/left_arm_link6.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://bessica/meshes/left_arm_link6.STL,,灵越2.1-1/灵越joint7转joint8_step-2;灵越2.1-1/SCS215_ASM_71_ASM_ASM-13/PRT0002-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-13/PRT0003-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-13/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1,left_arm_link6,left_arm_joint6,left_arm_joint6,revolute,0.00384000000000206,0,-0.210600000000004,-1.57079632679489,0,0,left_arm_link5,0,0,1,12,5,-1.57,1.57,,,,,,,,
left_arm_link7,0.0177009441165684,1.21978843153611E-05,0.000335001782082178,0,0,0,0.0286926698302179,1.38664319212237E-05,6.17342972752011E-09,-6.29106498416858E-08,1.07947986839636E-05,-6.61591376223645E-09,9.90947221972601E-06,0,0,0,0,0,0,package://bessica/meshes/left_arm_link7.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://bessica/meshes/left_arm_link7.STL,,灵越2.1-1/灵越末端夹爪连接件.stp-1,left_arm_link7,left_arm_joint7,left_arm_joint7,revolute,0.000900000000000928,0.0556000000000006,0,-1.5707963267949,0,1.5707963267949,left_arm_link6,0,0,-1,12,5,-1.57,1.57,,,,,,,,
left_arm_gripper_base,0.0487203584260385,-0.000176674281962666,0.0340839884785232,0,0,0,0.101924990923369,7.96904620280455E-05,2.09550360751484E-08,3.52058599123849E-06,3.14423593116517E-05,-9.78209339202269E-09,7.43475827788386E-05,0,0,0,0,0,0,package://bessica/meshes/left_arm_gripper_base.STL,0.807843137254902,0.843137254901961,0.905882352941176,1,0,0,0,0,0,0,package://bessica/meshes/left_arm_gripper_base.STL,,灵越2.1-1/连接件双轴竖直.stp-1;灵越2.1-1/intel D405相机连接件.stp-1;灵越2.1-1/D405相机_step.stp-1;灵越2.1-1/SCS215_ASM_71_ASM_ASM-14/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-1/BRH12滑轨（50mm夹爪）.stp-2,left_arm_gripper_base,left_arm_joint7,left_arm_gripper_base_joint,fixed,0,0,0,0,0,0,left_arm_link7,0,0,0,,,,,,,,,,,,
left_arm_gripper_left_finger,-0.0434086639321445,-1.54744196345646E-08,-0.0111596340364527,0,0,0,0.0256462690106054,5.13427082501846E-06,2.4476015523607E-11,-1.26430153583773E-06,6.46826196607971E-06,-4.17572060497099E-13,8.03606713459157E-06,0,0,0,0,0,0,package://bessica/meshes/left_arm_gripper_left_finger.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://bessica/meshes/left_arm_gripper_left_finger.STL,,灵越2.1-1/左夹爪套.stp-2;灵越2.1-1/BRH12滑块.stp-2,left_arm_gripper_left_finger,left_arm_gripper_joint,left_arm_gripper_joint1,prismatic,0.141279659620435,0.0499999999999949,4.99999999989953E-05,1.57079632679486,0,0,left_arm_gripper_base,0,0,1,12,5,0,0.05,,,,,,,,
left_arm_gripper_right_finger,0.0978709957456659,-0.0611558150927951,5.00154803947939E-05,0,0,0,0.0256462690533079,5.13427082582461E-06,-1.26430153770072E-06,-2.44813468131313E-11,8.03606718467521E-06,4.17408877377817E-13,6.46826201535656E-06,0,0,0,0,0,0,package://bessica/meshes/left_arm_gripper_right_finger.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://bessica/meshes/left_arm_gripper_right_finger.STL,,灵越2.1-1/左夹爪套.stp-1;灵越2.1-1/BRH12滑块.stp-3,left_arm_gripper_base,left_arm_gripper_joint,left_arm_gripper_joint2,prismatic,0,0,0,0,0,0,left_arm_gripper_base,0,-1,0,12,5,-0.05,0,,,,,,,,
right_arm_base_link,1.63473674800987E-05,-0.00300662481132879,0.0103241813473425,0,0,0,0.760760214227774,0.00140239578149964,1.37239403851179E-07,1.42916142950236E-07,0.00146104425714734,1.55314878062968E-05,0.00186458776403139,0,0,0,0,0,0,package://bessica/meshes/right_arm_base_link.STL,0.592156862745098,0.666666666666667,0.682352941176471,1,0,0,0,0,0,0,package://bessica/meshes/right_arm_base_link.STL,,铝型材连接件.STEP-2;灵越2.1-2/灵越joint1底座-1;灵越2.1-2/灵越 joint1底板与底座连接件-1;灵越2.1-2/灵越 joint1  底座上盖-1,right_arm_base_link,shoulder_base_joint,right_arm_base_joint,fixed,0,-0.1,1.01500000066667,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,
right_arm_link1,5.41404702287845E-05,6.54108681446706E-05,0.00226761786539081,0,0,0,0.189135928104252,0.000146325899368165,-8.97098733928049E-07,-1.12251453991552E-06,0.000249739133125008,4.11555762771362E-07,0.000330241998873376,0,0,0,0,0,0,package://bessica/meshes/right_arm_link1.STL,0.796078431372549,0.823529411764706,0.937254901960784,1,0,0,0,0,0,0,package://bessica/meshes/right_arm_link1.STL,,灵越2.1-2/灵越 joint2  底板-1;灵越2.1-2/joint2飞特舵机连轴承件-1;灵越2.1-2/joint2飞特舵机连轴承件-2;灵越2.1-2/SCS215_ASM_71_ASM_ASM-1/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-1/PRT0003-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-1/PRT0002-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-2/PRT0002-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-2/PRT0003-1;灵越2.1-2/SCS215_ASM_71_ASM_ASM-2/ASM-_____ASM_5_ASM_7_ASM_ASM-1/PRT0001-1,right_arm_link1,right_arm_joint1,right_arm_joint1,revolute,0,0,0.1145,0,0,0,right_arm_base_link,0,0,-1,12,5,-2.14,2.14,,,,,,,,
